Rego_State,State,Sum of Sum_Inf_Count,Sum of Sum_Pen_Amt,Vehicle registrations
ACT,Australian Capital Territory,594073,221171705,318148
NSW,New South Wales,345661,142931544,5892206
NT,Northern Territory,898,349820,162641
QLD,Queensland,25608,10927134,4303713
SA,South Australia,5245,2254869,1477899
TAS,Tasmania,1739,566607,516451
VIC,Victoria,48131,21312600,5157172
WA,Western Australia,4117,1373936,2314712
