Offence_Month,Rego_State,Sum_Pen_Amt,Sum_Inf_Count
Aug 2015,ACT,827508.0,3038
Aug 2015,NSW,586955.0,2093
Aug 2015,NT,472.0,2
Aug 2015,QLD,41230.0,150
Aug 2015,SA,5460.0,20
Aug 2015,TAS,1768.0,8
Aug 2015,VIC,51863.0,192
Aug 2015,WA,7697.0,22
Aug 2016,ACT,990377.0,3146
Aug 2016,NSW,632276.0,1986
Aug 2016,NT,257.0,2
Aug 2016,QLD,38197.0,116
Aug 2016,SA,9906.0,19
Aug 2016,TAS,2436.0,9
Aug 2016,VIC,64915.0,208
Aug 2016,WA,2978.0,11
Aug 2017,ACT,1156371.0,2892
Aug 2017,NSW,797960.0,1830
Aug 2017,NT,2912.0,8
Aug 2017,QLD,69882.0,130
Aug 2017,SA,6740.0,19
Aug 2017,TAS,514.0,2
Aug 2017,VIC,115766.0,209
Aug 2017,WA,8729.0,22
Aug 2018,ACT,1521956.0,3751
Aug 2018,NSW,1312412.0,2575
Aug 2018,NT,1434.0,2
Aug 2018,QLD,93012.0,152
Aug 2018,SA,29329.0,53
Aug 2018,TAS,3843.0,13
Aug 2018,VIC,168313.0,260
Aug 2018,WA,6364.0,19
Aug 2019,ACT,1427991.0,3370
Aug 2019,NSW,1139543.0,2319
Aug 2019,NT,876.0,3
Aug 2019,QLD,85512.0,162
Aug 2019,SA,9127.0,20
Aug 2019,TAS,876.0,3
Aug 2019,VIC,129766.0,215
Aug 2019,WA,3979.0,13
Aug 2020,ACT,1485843.0,3411
Aug 2020,NSW,1181307.0,2274
Aug 2020,NT,1839.0,4
Aug 2020,QLD,49625.0,96
Aug 2020,SA,8872.0,18
Aug 2020,TAS,2754.0,7
Aug 2020,VIC,81574.0,119
Aug 2020,WA,5868.0,16
Aug 2021,ACT,2985977.0,7096
Aug 2021,NSW,1098118.0,2082
Aug 2021,NT,3502.0,13
Aug 2021,QLD,110729.0,180
Aug 2021,SA,16418.0,34
Aug 2021,TAS,7224.0,24
Aug 2021,VIC,134360.0,269
Aug 2021,WA,9293.0,29
Aug 2022,ACT,2264837.0,4801
Aug 2022,NSW,2110865.0,3845
Aug 2022,NT,1909.0,3
Aug 2022,QLD,162243.0,285
Aug 2022,SA,28492.0,50
Aug 2022,TAS,7140.0,19
Aug 2022,VIC,290079.0,517
Aug 2022,WA,24921.0,40
Aug 2023,ACT,1494344.0,3281
Aug 2023,NSW,1031906.0,1990
Aug 2023,NT,2288.0,5
Aug 2023,QLD,68496.0,145
Aug 2023,SA,17771.0,28
Aug 2023,TAS,2300.0,6
Aug 2023,VIC,120151.0,237
Aug 2023,WA,4528.0,15
Aug 2024,ACT,2826648.0,4812
