Rego_State,State,Sum of Sum_Inf_Count,Sum of Sum_Pen_Amt,Population
ACT,Australian Capital Territory,594073,221171705,455869
NSW,New South Wales,345661,142931544,8118000
NT,Northern Territory,898,349820,245600
QLD,Queensland,25608,10927134,5115500
SA,South Australia,5245,2254869,1756500
TAS,Tasmania,1739,566607,535500
VIC,Victoria,48131,21312600,6629900
WA,Western Australia,4117,1373936,2630600
